,Demographic,DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort,BORO,District,Income,y
26,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2005,154,70,45.5,56,36.4,80.0,45,29.2,64.3,11,7.1,15.7,14,9.1,20.0,64,41.6,20,13.0,M,01,42065,54.4
27,Total Cohort,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006,193,105,54.4,91,47.2,86.7,69,35.8,65.7,22,11.4,21.0,14,7.3,13.3,53,27.5,35,18.1,M,01,42065,
28,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2001,17,s,,s,,,s,,,s,,,s,,,s,,s,,M,01,42065,
29,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2002,7,s,,s,,,s,,,s,,,s,,,s,,s,,M,01,42065,100.0
30,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2003,58,58,100.0,57,98.3,98.3,49,84.5,84.5,8,13.8,13.8,1,1.7,1.7,0,0.0,0,0.0,M,01,42065,96.7
31,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2004,60,58,96.7,58,96.7,100.0,54,90.0,93.1,4,6.7,6.9,0,0.0,0.0,0,0.0,2,3.3,M,01,42065,95.9
32,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2005,49,47,95.9,47,95.9,100.0,38,77.59999999999998,80.9,9,18.4,19.1,0,0.0,0.0,2,4.1,0,0.0,M,01,42065,100.0
33,Total Cohort,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2006,46,46,100.0,46,100.0,100.0,31,67.4,67.4,15,32.6,32.6,0,0.0,0.0,0,0.0,0,0.0,M,01,42065,
34,Total Cohort,01M650,CASCADES HIGH SCHOOL,2001,86,27,31.4,2,2.3,7.4,0,0.0,0.0,2,2.3,7.4,25,29.1,92.6,47,54.7,11,12.8,M,01,42065,23.9
35,Total Cohort,01M650,CASCADES HIGH SCHOOL,2002,92,22,23.9,6,6.5,27.3,0,0.0,0.0,6,6.5,27.3,16,17.4,72.7,62,67.4,8,8.7,M,01,42065,29.0
36,Total Cohort,01M650,CASCADES HIGH SCHOOL,2003,93,27,29.0,7,7.5,25.9,0,0.0,0.0,7,7.5,25.9,20,21.5,74.09999999999998,62,66.7,4,4.3,M,01,42065,41.8
37,Total Cohort,01M650,CASCADES HIGH SCHOOL,2004,67,28,41.8,10,14.9,35.70000000000001,0,0.0,0.0,10,14.9,35.70000000000001,18,26.9,64.3,31,46.3,7,10.4,M,01,42065,32.6
38,Total Cohort,01M650,CASCADES HIGH SCHOOL,2005,95,31,32.6,17,17.9,54.8,0,0.0,0.0,17,17.9,54.8,14,14.7,45.2,54,56.8,7,7.4,M,01,42065,55.1
39,Total Cohort,01M650,CASCADES HIGH SCHOOL,2006,89,49,55.1,36,40.4,73.5,0,0.0,0.0,36,40.4,73.5,13,14.6,26.5,34,38.2,6,6.7,M,01,42065,
40,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2001,119,112,94.1,110,92.4,98.2,0,0.0,0.0,110,92.4,98.2,2,1.7,1.8,5,4.2,2,1.7,M,01,42065,94.5
41,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2002,110,104,94.5,103,93.6,99.0,0,0.0,0.0,103,93.6,99.0,1,0.9,1.0,6,5.5,0,0.0,M,01,42065,97.6
42,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2003,126,123,97.6,123,97.6,100.0,0,0.0,0.0,123,97.6,100.0,0,0.0,0.0,2,1.6,1,0.8,M,01,42065,92.3
43,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2004,117,108,92.3,108,92.3,100.0,0,0.0,0.0,108,92.3,100.0,0,0.0,0.0,8,6.8,1,0.9,M,01,42065,93.0
44,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,115,107,93.0,107,93.0,100.0,0,0.0,0.0,107,93.0,100.0,0,0.0,0.0,7,6.1,1,0.9,M,01,42065,97.8
45,Total Cohort,01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,139,136,97.8,136,97.8,100.0,0,0.0,0.0,136,97.8,100.0,0,0.0,0.0,2,1.4,1,0.7,M,01,42065,
46,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2001,11,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
47,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2002,18,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
48,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2003,17,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
49,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2004,14,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,37.5
50,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2005,24,9,37.5,4,16.7,44.4,0,0.0,0.0,4,16.7,44.4,5,20.8,55.6,9,37.5,3,12.5,M,02,92628,76.0
51,Total Cohort,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2006,25,19,76.0,8,32.0,42.1,0,0.0,0.0,8,32.0,42.1,11,44.0,57.9,4,16.0,1,4.0,M,02,92628,
52,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2001,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
53,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
54,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2003,5,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,66.3
55,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2004,80,53,66.3,50,62.5,94.3,0,0.0,0.0,50,62.5,94.3,3,3.8,5.7,11,13.8,16,20.0,M,02,92628,74.7
56,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2005,79,59,74.7,48,60.8,81.4,0,0.0,0.0,48,60.8,81.4,11,13.9,18.6,17,21.5,2,2.5,M,02,92628,90.2
57,Total Cohort,02M288,FOOD AND FINANCE HIGH SCHOOL,2006,102,92,90.2,78,76.5,84.8,0,0.0,0.0,78,76.5,84.8,14,13.7,15.2,4,3.9,3,2.9,M,02,92628,
58,Total Cohort,02M294,ESSEX STREET ACADEMY,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
59,Total Cohort,02M294,ESSEX STREET ACADEMY,2003,11,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,84.4
60,Total Cohort,02M294,ESSEX STREET ACADEMY,2004,96,81,84.4,48,50.0,59.3,0,0.0,0.0,48,50.0,59.3,33,34.4,40.7,10,10.4,5,5.2,M,02,92628,77.09999999999998
61,Total Cohort,02M294,ESSEX STREET ACADEMY,2005,70,54,77.09999999999998,53,75.7,98.1,0,0.0,0.0,53,75.7,98.1,1,1.4,1.9,15,21.4,0,0.0,M,02,92628,75.3
62,Total Cohort,02M294,ESSEX STREET ACADEMY,2006,89,67,75.3,58,65.2,86.6,0,0.0,0.0,58,65.2,86.6,9,10.1,13.4,12,13.5,9,10.1,M,02,92628,
63,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2003,4,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,72.8
64,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2004,81,59,72.8,39,48.1,66.1,0,0.0,0.0,39,48.1,66.1,20,24.7,33.9,15,18.5,7,8.6,M,02,92628,81.3
65,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,91,74,81.3,63,69.2,85.1,6,6.6,8.1,57,62.6,77.0,11,12.1,14.9,11,12.1,4,4.4,M,02,92628,80.0
66,Total Cohort,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,75,60,80.0,52,69.3,86.7,1,1.3,1.7,51,68.0,85.0,8,10.7,13.3,9,12.0,5,6.7,M,02,92628,
67,Total Cohort,02M298,PACE HIGH SCHOOL,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
68,Total Cohort,02M298,PACE HIGH SCHOOL,2003,2,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,85.2
69,Total Cohort,02M298,PACE HIGH SCHOOL,2004,115,98,85.2,98,85.2,100.0,41,35.70000000000001,41.8,57,49.6,58.2,0,0.0,0.0,8,7.0,7,6.1,M,02,92628,83.7
70,Total Cohort,02M298,PACE HIGH SCHOOL,2005,98,82,83.7,77,78.59999999999998,93.9,13,13.3,15.9,64,65.3,78.0,5,5.1,6.1,13,13.3,2,2.0,M,02,92628,85.9
71,Total Cohort,02M298,PACE HIGH SCHOOL,2006,92,79,85.9,77,83.7,97.5,39,42.4,49.4,38,41.3,48.1,2,2.2,2.5,5,5.4,4,4.3,M,02,92628,
72,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2002,2,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
73,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2003,6,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,68.7
74,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2004,83,57,68.7,53,63.9,93.0,2,2.4,3.5,51,61.4,89.5,4,4.8,7.0,21,25.3,5,6.0,M,02,92628,74.7
75,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2005,79,59,74.7,57,72.2,96.6,4,5.1,6.8,53,67.1,89.8,2,2.5,3.4,13,16.5,3,3.8,M,02,92628,71.3
76,Total Cohort,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2006,80,57,71.3,48,60.0,84.2,0,0.0,0.0,48,60.0,84.2,9,11.3,15.8,16,20.0,7,8.800000000000002,M,02,92628,
77,Total Cohort,02M303,FACING HISTORY SCHOOL  THE,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,44.8
78,Total Cohort,02M303,FACING HISTORY SCHOOL  THE,2005,105,47,44.8,47,44.8,100.0,0,0.0,0.0,47,44.8,100.0,0,0.0,0.0,35,33.3,20,19.0,M,02,92628,59.2
79,Total Cohort,02M303,FACING HISTORY SCHOOL  THE,2006,71,42,59.2,42,59.2,100.0,0,0.0,0.0,42,59.2,100.0,0,0.0,0.0,13,18.3,14,19.7,M,02,92628,
80,Total Cohort,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2003,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
81,Total Cohort,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2005,70,50,71.40000000000002,41,58.6,82.0,2,2.9,4.0,39,55.7,78.0,9,12.9,18.0,8,11.4,9,12.9,M,02,92628,75.4
82,Total Cohort,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2006,61,46,75.4,40,65.6,87.0,0,0.0,0.0,40,65.6,87.0,6,9.8,13.0,3,4.9,10,16.4,M,02,92628,
83,Total Cohort,02M308,LOWER MANHATTAN ARTS ACADEMY,2004,3,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,77.59999999999998
84,Total Cohort,02M308,LOWER MANHATTAN ARTS ACADEMY,2005,67,52,77.59999999999998,30,44.8,57.7,2,3.0,3.8,28,41.8,53.8,22,32.8,42.3,7,10.4,7,10.4,M,02,92628,70.6
85,Total Cohort,02M308,LOWER MANHATTAN ARTS ACADEMY,2006,68,48,70.6,34,50.0,70.8,1,1.5,2.1,33,48.5,68.8,14,20.6,29.2,13,19.1,6,8.800000000000002,M,02,92628,
86,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2002,4,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,60.0
87,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2003,25,15,60.0,4,16.0,26.7,0,0.0,0.0,4,16.0,26.7,11,44.0,73.3,8,32.0,2,8.0,M,02,92628,29.5
88,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2004,44,13,29.5,7,15.9,53.8,0,0.0,0.0,7,15.9,53.8,6,13.6,46.2,25,56.8,4,9.1,M,02,92628,38.5
89,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2005,78,30,38.5,15,19.2,50.0,0,0.0,0.0,15,19.2,50.0,15,19.2,50.0,35,44.9,8,10.3,M,02,92628,57.0
90,Total Cohort,02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2006,79,45,57.0,31,39.2,68.9,0,0.0,0.0,31,39.2,68.9,14,17.7,31.1,20,25.3,11,13.9,M,02,92628,
91,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2002,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
92,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2004,1,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,63.6
93,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,77,49,63.6,32,41.6,65.3,6,7.8,12.2,26,33.8,53.1,17,22.1,34.7,20,26.0,7,9.1,M,02,92628,80.59999999999998
94,Total Cohort,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,72,58,80.59999999999998,46,63.9,79.3,8,11.1,13.8,38,52.8,65.5,12,16.7,20.7,8,11.1,4,5.6,M,02,92628,
95,Total Cohort,02M374,GRAMERCY ARTS HIGH SCHOOL,2005,68,50,73.5,13,19.1,26.0,0,0.0,0.0,13,19.1,26.0,37,54.4,74.0,10,14.7,4,5.9,M,02,92628,78.5
96,Total Cohort,02M374,GRAMERCY ARTS HIGH SCHOOL,2006,93,73,78.5,52,55.9,71.2,1,1.1,1.4,51,54.8,69.9,21,22.6,28.8,12,12.9,6,6.5,M,02,92628,
97,Total Cohort,02M394,EMMA LAZARUS HIGH SCHOOL,2006,10,s,,s,,,s,,,s,,,s,,,s,,s,,M,02,92628,
98,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2001,360,271,75.3,197,54.7,72.7,73,20.3,26.9,124,34.4,45.8,74,20.6,27.3,54,15.0,26,7.2,M,02,92628,74.2
99,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2002,372,276,74.2,222,59.7,80.4,80,21.5,29.0,142,38.2,51.4,54,14.5,19.6,61,16.4,31,8.3,M,02,92628,73.09999999999998
100,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2003,312,228,73.09999999999998,178,57.1,78.09999999999998,68,21.8,29.8,110,35.3,48.2,50,16.0,21.9,48,15.4,32,10.3,M,02,92628,79.5
101,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2004,297,236,79.5,202,68.0,85.6,95,32.0,40.3,107,36.0,45.3,34,11.4,14.4,47,15.8,11,3.7,M,02,92628,70.1
102,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2005,344,241,70.1,191,55.5,79.3,68,19.8,28.2,123,35.8,51.0,50,14.5,20.7,75,21.8,15,4.4,M,02,92628,81.5
103,Total Cohort,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,352,287,81.5,231,65.6,80.5,80,22.7,27.9,151,42.9,52.6,56,15.9,19.5,31,8.800000000000002,21,6.0,M,02,92628,
104,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2001,40,32,80.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,32,80.0,100.0,6,15.0,2,5.0,M,02,92628,83.0
105,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2002,53,44,83.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,44,83.0,100.0,8,15.1,1,1.9,M,02,92628,78.59999999999998
106,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2003,70,55,78.59999999999998,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,55,78.59999999999998,100.0,13,18.6,2,2.9,M,02,92628,66.0
107,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2004,50,33,66.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,33,66.0,100.0,15,30.0,2,4.0,M,02,92628,75.9
108,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2005,58,44,75.9,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,44,75.9,100.0,12,20.7,1,1.7,M,02,92628,80.0
109,Total Cohort,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006,55,44,80.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,44,80.0,100.0,9,16.4,2,3.6,M,02,92628,
110,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2001,80,72,90.0,54,67.5,75.0,15,18.8,20.8,39,48.8,54.2,18,22.5,25.0,4,5.0,4,5.0,M,02,92628,90.6
111,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2002,96,87,90.6,71,74.0,81.59999999999998,13,13.5,14.9,58,60.4,66.7,16,16.7,18.4,7,7.3,2,2.1,M,02,92628,85.7
112,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2003,84,72,85.7,61,72.59999999999998,84.7,24,28.6,33.3,37,44.0,51.4,11,13.1,15.3,11,13.1,1,1.2,M,02,92628,1.2
113,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2004,81,1,1.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,1.2,100.0,79,97.5,1,1.2,M,02,92628,95.0
114,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2005,100,95,95.0,80,80.0,84.2,21,21.0,22.1,59,59.0,62.1,15,15.0,15.8,4,4.0,1,1.0,M,02,92628,97.5
115,Total Cohort,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2006,80,78,97.5,64,80.0,82.1,8,10.0,10.3,56,70.0,71.8,14,17.5,17.9,2,2.5,0,0.0,M,02,92628,
116,Total Cohort,02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2001,78,44,56.4,13,16.7,29.5,0,0.0,0.0,13,16.7,29.5,31,39.7,70.5,22,28.2,10,12.8,M,02,92628,53.5
117,Total Cohort,02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2002,86,46,53.5,22,25.6,47.8,0,0.0,0.0,22,25.6,47.8,24,27.9,52.2,19,22.1,21,24.4,M,02,92628,56.7
118,Total Cohort,02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2003,90,51,56.7,20,22.2,39.2,0,0.0,0.0,20,22.2,39.2,31,34.4,60.8,24,26.7,13,14.4,M,02,92628,50.7
119,Total Cohort,02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2004,75,38,50.7,11,14.7,28.9,0,0.0,0.0,11,14.7,28.9,27,36.0,71.1,21,28.0,15,20.0,M,02,92628,75.9
120,Total Cohort,02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2005,83,63,75.9,12,14.5,19.0,0,0.0,0.0,12,14.5,19.0,51,61.4,81.0,0,0.0,9,10.8,M,02,92628,
121,Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2001,92,92,100.0,88,95.7,95.7,63,68.5,68.5,25,27.2,27.2,4,4.3,4.3,0,0.0,0,0.0,M,02,92628,97.0
122,Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2002,101,98,97.0,90,89.1,91.8,45,44.6,45.9,45,44.6,45.9,8,7.9,8.2,1,1.0,1,1.0,M,02,92628,97.9
123,Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2003,94,92,97.9,89,94.7,96.7,64,68.1,69.6,25,26.6,27.2,3,3.2,3.3,2,2.1,0,0.0,M,02,92628,97.1
124,Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2004,104,101,97.1,99,95.2,98.0,65,62.5,64.4,34,32.7,33.7,2,1.9,2.0,2,1.9,1,1.0,M,02,92628,100.0
125,Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2005,96,96,100.0,94,97.9,97.9,55,57.3,57.3,39,40.6,40.6,2,2.1,2.1,0,0.0,0,0.0,M,02,92628,98.1
126,Total Cohort,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,105,103,98.1,100,95.2,97.1,56,53.3,54.4,44,41.9,42.7,3,2.9,2.9,2,1.9,0,0.0,M,02,92628,
